"Quelles sont les deux Cités que distinguent Augustin d’Hipponne, Grégoire le Grand et Grégoire VII ?","a) La Cité céleste : qui rassemble ceux qui vivent dans l’amour de Dieu
b) La Cité terrestre : qui rassemble ceux qui vivent dans l’amour de soi"
Quelle est la différence de vision pour les deux Cités entre Augustin et les papes Grégoire le Grand et Grégoire VI ?,"Pour Augustin : jusqu’à l’avènement de la fin des temps (jugement dernier), les deux Cités restent liés dans le cœur de chaque homme et de chaque société politique.
Pour Grégoire le Grand et Grégoire VI : l ’Eglise est l’incarnation sur terre de la Cité célestre, et donc le pouvoir temporel doit se soumettre au pouvoir spirituel."
Quelle est la différence entre le vision de Luther et des Catholique du Salut ?,"Catholiques : pour être sauvé, les « œuvres » (les actions) sont suffisantes >< Luther : « il ne faut pas seulement agir, mais agir de tout cœur » → accent sur l’intention, et donc sur la foi."
"Selon Decartes et Spinoza, pourquoi même quand nous suivons une méthode supposée rigoureuse, pouvons-nous encore nous tromper ?","a) Mauvais usage de la méthode, nous ne suivons pas parfaitement l’ordre des raisons.
b) Même lorsque nous faisons un bon usage de la méthode, nous avons tendance à nous laisser tromper par notre imagination."
Quelle est la différence entre la conception de la nature selon les Médiévaux et les Modernes ?,Médiévaux : nature = création de Dieu >< Modernes : « la nature n’est pas une déesse » (Descartes)
Quelles sont les deux éléments que les Mordenes rejettent par rapport à la nature ?,"a) L’anthropomorphisation
b) L'explication finaliste, magique ou merveilleuse"
Quelle est l'origine de nos idées pour les empiristes ?,L'expérience
Quelle est l'origine de nos idées pour les rationalistes ?,Elles sont innées.
Lequel de ces philosphes n'est pas un phisiologue ?,Thalès,Platon,Anaximène,Anaximandre,2
Quel est le courrant des sophistes ?,Relativisme,Scolastique,Platonisme,Humanisme,1
Lequel de ces courrants n'appartient pas à la philosophie héllenistique ?,Epicurisme,Stoïsisme,Sceptisisme,Platonisme,4
Quel est le nom du courrant philosophique au Moyen-Age ?,Relativisme,Scolastique,Héllenisme,Stoïsisme,2
Quand apparaît le néo-platonisme ?,Fin de l'Antiquité,Début du Moyen-Age,Haut Moyen-Age,Renaissance,1
Quel est le courrant philosophique lors de la Renaissance ?,Scolastique,Epicurisme,Humanisme,Philosophie moderne,3
Lequel de ces philosphes n'est pas un stoïcien ?,Zénon,Sénèque,Marc-Aurèle,Héraclite,4
Quel courrant inspire principalement l'humanisme ?,Epicurisme,Stoïsisme,Sceptisisme,Platonisme,2
Quel philosophe à écrit les Essais (1580-1588) ?,Kant,Montaigne,Voltaire,Jean Calvin,2
Quelle disipline forme les racines de l'arbe des sciences selon Decartes ?,Métaphysique,Physique,Médecine,Morale,1
Quel est le principe le plus important selon Decartes ?,La raison,La question,Le sujet,La science,3
Quelle est la nouvelle conception de l’Homme et sa place dans le monde proposée par les Humanistes ?,L'antropoabsolutisme,L'antropocultivisme,L’anthropomorphisme,L'anthropocentrisme,4
"Lequel de ces philosophes n'est pas à l'origine de la ""libre pensée"" ?",Descartes,Spinoza,Leibniz,Thomas More,4
Lequel de ces livre à été écrit par Kant ?,Critique de la raison pure,Le Prince,L'Utopie,Le Tractatus,4
"Qui a dit : «L’homme ne naît pas homme, il le devient» ?",Kant,Erasme,Montaigne,Descartes,2
Lequel de ces philosophes n'est pas un empiriste ?,Hobbes,Locke,Descartes,Berkeley,3
"Selon la vision de Kant, l'âme appartient ...",Aux phénomènes,Aux noumènes,Aux intramènes,Aux intermènes,2
Lequel de ses philosophe n'est pas impliqué dans l'écriture de l'Encyclopédie ?,Hume,Turgot,Voltaire,Diderot,1
Quelle philosophie politique est apportée par Thomas More ?,Idealpolitik,Realpolitik,Metapolitik,Theopolitik,1
Quelle mouvement va donner naissance au protestentisme ?,La Réforme,L'obscurentisme,La libre pensée,Les Lumières,1
